imageX,imageY,realX,realY
219.0,187.0,1000,5500
225.0,178.0,1000,6000
231.0,170.0,1000,6500
116.0,422.0,1500,1000
148.0,363.0,1500,1500
171.0,320.0,1500,2000
189.0,287.0,1500,2500
202.0,261.0,1500,3000
213.0,241.0,1500,3500
222.0,224.0,1500,4000
230.0,210.0,1500,4500
236.0,198.0,1500,5000
242.0,187.0,1500,5500
247.0,178.0,1500,6000
251.0,170.0,1500,6500
178.0,422.0,2000,1000
199.0,362.0,2000,1500
215.0,319.0,2000,2000
227.0,287.0,2000,2500
237.0,261.0,2000,3000
244.0,241.0,2000,3500
251.0,224.0,2000,4000
256.0,209.0,2000,4500
260.0,197.0,2000,5000
264.0,187.0,2000,5500
267.0,178.0,2000,6000
270.0,170.0,2000,6500
239.0,421.0,2500,1000
251.0,362.0,2500,1500
260.0,319.0,2500,2000
266.0,286.0,2500,2500
272.0,261.0,2500,3000
276.0,240.0,2500,3500
279.0,223.0,2500,4000
282.0,209.0,2500,4500
285.0,197.0,2500,5000
287.0,187.0,2500,5500
288.0,178.0,2500,6000
290.0,170.0,2500,6500
299.0,420.0,3000,1000
302.0,361.0,3000,1500
304.0,318.0,3000,2000
305.0,286.0,3000,2500
306.0,261.0,3000,3000
307.0,240.0,3000,3500
308.0,223.0,3000,4000
308.0,209.0,3000,4500
309.0,197.0,3000,5000
309.0,187.0,3000,5500
310.0,178.0,3000,6000
310.0,170.0,3000,6500
360.0,419.0,3500,1000
353.0,360.0,3500,1500
348.0,318.0,3500,2000
344.0,286.0,3500,2500
341.0,260.0,3500,3000
338.0,240.0,3500,3500
336.0,223.0,3500,4000
334.0,209.0,3500,4500
333.0,197.0,3500,5000
332.0,187.0,3500,5500
330.0,178.0,3500,6000
329.0,170.0,3500,6500
420.0,418.0,4000,1000
404.0,360.0,4000,1500
391.0,317.0,4000,2000
382.0,285.0,4000,2500
375.0,260.0,4000,3000
369.0,240.0,4000,3500
364.0,223.0,4000,4000
360.0,209.0,4000,4500
357.0,197.0,4000,5000
354.0,187.0,4000,5500
351.0,178.0,4000,6000
349.0,170.0,4000,6500
480.0,417.0,4500,1000
454.0,359.0,4500,1500
435.0,317.0,4500,2000
421.0,285.0,4500,2500
409.0,260.0,4500,3000
400.0,239.0,4500,3500
393.0,223.0,4500,4000
386.0,209.0,4500,4500
510.0,478.0,4500,500
381.0,197.0,4500,5000
376.0,186.0,4500,5500
372.0,178.0,4500,6000
369.0,170.0,4500,6500
540.0,416.0,5000,1000
504.0,358.0,5000,1500
478.0,316.0,5000,2000
459.0,285.0,5000,2500
443.0,259.0,5000,3000
431.0,239.0,5000,3500
421.0,222.0,5000,4000
412.0,208.0,5000,4500
580.0,478.0,5000,500
405.0,197.0,5000,5000
398.0,186.0,5000,5500
393.0,177.0,5000,6000
388.0,170.0,5000,6500
6.0,420.0,500,1000
45.0,364.0,500,1500
82.0,321.0,500,2000
110.0,288.0,500,2500
133.0,262.0,500,3000
150.0,241.0,500,3500
165.0,224.0,500,4000
177.0,210.0,500,4500
188.0,198.0,500,5000
197.0,188.0,500,5500
204.0,179.0,500,6000
211.0,171.0,500,6500
599.0,415.0,5500,1000
554.0,358.0,5500,1500
522.0,316.0,5500,2000
497.0,284.0,5500,2500
477.0,259.0,5500,3000
462.0,239.0,5500,3500
449.0,222.0,5500,4000
438.0,208.0,5500,4500
637.0,477.0,5500,500
429.0,196.0,5500,5000
